annotation_id,contexte_avant,texte,contexte_apres,label,confiance_1_3,notes
O0026,Why?,Look--committees--small groups of Senators--have to sift a Bill down-- look into it--study it--and report to the whole Senate. You can't take a Bill no one knows anything about and discuss it among ninety-six men. Where would you get?,"Yes, I see that.",,,
O0027,-- but at least Aunt May's okay now. I really have to stop by the hospital this afternoon.,Do you mind if I come too?,I think I'd like that.,,,
O0028,,"You did it, man! You got us out! Next stop, New York City!","New York's a long way's off. Let's just keep moving, okay?",,,
O0029,,"Don't call it desertion. Our little restaurant... that is our Russia... the Russia of borscht, the Russia of beef Stroganoff, blinis with sour cream...",...the Russia of piroshki... people will eat and love it.,,,
O0030,I used to work at the Diplomat.,Do you know how to open the safe there?  Our government needs to use the hotel and the room keys are in the safe. You must open it.,Of course.,,,
O0031,As part of the Crew.,Wait a minute! They can't shrink <me>!,"Grant, our Miniaturizer can shrink anything.",,,
O0032,"God in heaven, what is that?!",That's... that's the criminal mind about to stomp our sorry butts!,,,,
O0033,I've gotta call the police  or you could call for me ,Hold on ,You gotta believe me ,,,
O0034,Wait.  I want to tell you more about my dad.,Let's go the zoo.,Okay.  I've been hogging it. You're right.  _ 76.,,,
O0035,Come on!,You two go!  I'll call Calvin!,,,,
O0036,He left!  I sprung the dickhead and he cruised on me.,"Look up, sunshine",,,,
O0037,,He was right! Pritchett was right!,I am.,,,
O0038,,Do you know what the Little People just told me?,The Little People?,,,
O0039,"Dad, I'm so glad I went.  Goodnight.",Wait a minute.  How was Lloyd?,"Lloyd was such a gentleman.  He was funny and nervous and strange, and I met people that I never would have met before, then I blew it.  I called him basic.  Can you believe I did that?",,,
O0040,,We have to go back for Daddy!,Daddy's dead.,,,
O0041,"Just so you don't think I'm a complete swine -- if there's anything in Dark Windows you can use, take it.  It's all yours.","Well, for heaven's sake!",,,,
O0042,,Who speaks that name!,Ynyr!,,,
O0043,No charge.,"Listen, Darrell, about that hundred-fifty bucks for the car, as soon as I get where I'm going I swear I'll--",Two-hundred.,,,
O0044,"Phillip, we've been tricked and ambushed by The Conan O'Brian Show!!",This little scrotum sucker willfully deceived us!  You are a bad man!,And you call yourself a Canadian!  I told you we should of done Leno!,,,
O0045,,Andy! Holy shit!,Serafine...?,,,
O0046,Just to walk with you.  I want to be your dad again.,"Do what you want, it's a free country.",,,,
O0047,I'd rather you didn't.,Do you have a girlfriend?,Not while I'm in training.,,,
O0048,What are you talking about?,Don't lie to me. I saw her name in the register.,Jezuz Christ!,,,
O0049,Hey.  God.  You're an asshole.,Let go of the belt!  What are you doing?  You got mad at me for trying to save the other guy.,,,,
O0050,"If he tells, it won't come true!","Oh, that's just a bunch of baloney! We never believed that in my family!","Well, we did in my family!",,,
O0051,,Do you wanna tell me what that was all about?,Yeah.  I want to tell you everything.,,,
O0052,I got your bail continued.,"Bail, for Chrissake!  I'm innocent!",,,,
O0053,It'll be close -- but there's still a margin of safety.,Let's find what the devil's holding them up!  Contact the Proteus!,,,,
O0054,,I hate sucking dick!,"Yeah. 'Cause they fucking shoot you in the eye, the face, the ear.",,,
O0055,It is now nine o'clock precisely. I do not intend to be kept waiting again.,Don't talk to me like I was a second violinist. Go back into the waiting room. Miss Straube will come and get you when I am ready to see you.,,,,
O0056,"Every one of these women thinks she should be the next Angel of the Month. It's your job, Ted, to decide which of them is right.",Let me get this straight...,"If it isn't straight by now, son, you probably should see a doctor.",,,
O0057,,Look are you just fiddling around with me or what?,I just want you to feel you're doing well. I hate for people to die embarrassed.,,,
O0058,I've already asked them. They're afraid to make the trip. We'll have to send an expedition back after them.,Come on! We're wasting time!,,,,
O0059,"In Florida, they come smooth, ready to eat. Down there, your only problem is, diet-wise, you gotta lift an arm to wipe warm milk off your chin. Tough, hey?","I think finding you's the smartest thing I ever did, for both of us. You just the crooked kinda sneaky little sidewinder I need to get me hustling in this town. Hey!",,,,
O0060,You must enjoy causing me pain!,You shouldn't have pushed us!,,,,
O0061,We have to send someone to look for him!,"You go if you like, but we're not waiting for you.  MOVE IT OUT!!",,,,
O0062,,"Don't look at me, X, she handles all the details.",It'll work faster if I have an account number.,,,
O0063,,He'll never get it right. Try the Log Ride !,Not yet.,,,
O0064,I'm massaging his heart. I saw it done once.,ARE YOU CRAZY?!! STOP IT!!!,"LISTEN TO ME! IF I DON'T DO THIS, HE'S DEAD!",,,
O0065,"Yah, I got the money, but, uh -","Don't you fucking but me, Jerry.  I want you with this money on the Dayton- Radisson parking ramp, top level, thirty minutes, and we'll wrap this up.","Yah, okay, but, uh -",,,
O0066,,Don't you think it meant anything to him. Even if I am fifteen?,"Stacy. What does it matter? He's a stereo salesman. You want to marry him? You want to have kids with him? You want this guy to come home, fifty years old, and he's still got that little Pacific Stereo badge on? Come on.",,,
O0067,I wish I knew.  You did good work...,Make eye contact when you say that.,"I'm sorry, that dress.  What do you say we...",,,
O0068,,What?! Why would you call me a pigfucker?!,"Well, let's see... First of all, you fuck pigs.",,,
O0069,,Don't go!  Please.,"I'll be right in the other room, Newt.  And look...I can see you on that camera right up there.",,,
O0070,"Well, it's the Jack Kennedy Syndrome, huh?  You die young, you always look golden.  Perfect.  The memory kind of burnishes the image, and...","Come on, a wuss like me?  The stiff who wouldn't help her own daughter fight back?",Maybe I was wrong on that one.,,,
O0071,Just the man I wanted to see!,Turn on the T.V.,I did. isn't it neat-o?,,,
O0072,No.,Don't tell me the bed has lost its best friend.,I just couldn't sleep. I got up and went back... and then got up again. These last few days... whew!,,,
O0073,,Do you think there's somebody out there you could love as much as your wife? Maybe even more?,It's hard to imagine.,,,
O0074,I thought you were taking me to the consulate.,"Oh yeah, but this is on the way.  And you gotta see John Wayne's footprints. Everybody does. It's almost like a law. You can't believe how small his feet were for a dude that big. Tiny god damn feet!",,,,
O0075,,"I know. Don't tell me. It was a wonderful party. Your suit went over big. And she looked beautiful, and she gave her hand when you left her-- and said--""Thank you, Mr. Smith."" Oh, but it was the way she *said* it. You like to fell through the floor--Horseradish!",Saunders--!,,,
O0076,"Some pain is to be expected...  ... And I think what would be best for the two of you is a good night's rest.  ... It's late, I'm afraid it's time for my patients to prepare for bed.","We have common foes, Chauncey - kid lawyers and our physician!",,,,
O0077,Don't think I won't.,Do it!  Put me out of my misery so I don't have to listen to you whining anymore.  You think it's so easy?,Easy enough for you.,,,
O0078,"Hey, Buzz!!  You're flying!!",This isn't flying.  This is falling -- with style!,Ha ha!!  To Infinity and Beyond!!,,,
O0079,"They won't do anything to Junior, darling.  Anonymous letter writers -   I've got guards in front of the house, and I'm going to arrange -","Please don't talk any more, Charles.",,,,
O0080,"""The fifth one this week""!","Oh, for goodness' sake!",And I thought you said it was something special...,,,
O0081,"What's the reason? Give me a reason, Tom.",Let me think.,,,,
O0082,Not here--follow me around the shed.,Don't you know better than to talk to me with people around?,"Oh, putting on the swell, eh?",,,
O0083,,Don't you like parties?,C'mon. We've got to get out of here.,,,
O0084,Alright... okay...,He's turning blue!,,,,
O0085,I was just trying to open the door.  Mrs. Butterfield brought over a skeleton key.,Let me have it.,,,,
O0086,,Get going. You don't want to be late.,Right. See ya.,,,
O0087,"No, sir.","Stop whispering, Sweet Pea, you're giving me a hard on!",,,,
O0088,,Tell her to get the kids and leave town.,What happened?,,,
O0089,Where you going?,I quit! I'm through!,You can't leave me now.,,,
O0090,"My God, you're as crazy as...","Stop laughing, I don't say it's the truth, I'm saying...",How  ?,,,
O0091,Katrina...,"Speak the words, Constable.  What is stopping you?  What has happened to your ability to transcend sentimentality?",,,,
O0092,"We're all desperate for the money, doll.  That's what made this country great.  Back me up on this Candy, am I right?","Don't call me doll, Larry.  I hate it when you call me doll.",You used to love it when I called you doll.,,,
O0093,I don't need your charity. I don't need your grandmother's jewelry or your parents money -how could you do that?,Please don't shout.,,,,
O0094,So whatta' you going to do in San Francisco?,Get a job and probably go back to school.  Figure out what I'm gonna be.,What kind of school?,,,
O0095,I used to be married to one.,"And it came to life and divorced you. I know all about that. Now my idea is this: Somebody swipes the girl's body, takes impression, makes a mold, produces wax figure ... Bingo! ... Peddles it to this old skate down there!",Work that up into a comic strip and syndicate it.,,,
O0096,"And without it, that party is exposed -- a sitting duck. No wriggle room.",A Wriggle Room! Maybe we should put that in the Malibu house. Screw the screening room!,-- and we are sure...,,,
O0097,Sorry.,Please don't do it again.,I said I was sorry.,,,
O0098,,You almost got us killed!,I told you I've never driven before!,,,
O0099,I would like to.,"You'd better not. He's really very dull. But anyhow, when the king tells the marquis he saw me, the marquis will tell the marchesa. And the marchesa is the best friend of the Duchess of Chambro. And <u>she</u> will phone the Princess de Costa. The princess doesn't like me--but I don't care!",Why should you?,,,
O0100,,"Do we stand for the same things that the ""Chronicle"" stands for, Mr. Bernstein?","Certainly not.  So what's that got to do with it?  Mr. Kane, he'll have them changed to his kind of newspapermen in a week.",,,
O0101,,Oh yes I do! I have something right here!,"Oh no, not another worthless trinket, Jonathan, if I bring one more piece of junk to the Curator to try and sell for you.",,,
O0102,Whoa.,"Come on, do you think I'm doing the right thing? Tell the truth. You've been through it.","Well, you waited for good reason, and you proposed to Christine for some good reason. So I think it's great. It's time. You've got to have your eyes open, that's all. I mean, look at me. I thought Victoria and I were set for life.",,,
O0103,,Fuck!  Fuck!  How did you ...  Awwww goddammit!,I'm sorry.  It was an accident.,,,
O0104,,"I just, I just can't believe it. I'm Minnesota's American Teen Princess!","Our baby's going to Nationals! Lincoln, Alabama -- look out!",,,
O0105,,"Look, will you come on a walk with me tomorrow?",I might.,,,
O0106,It never solves anything.,"Do your recall the words of Saint Peter, in Ecciesiastes 1:27?  He spoke unto a wastrel youth.  He said, ""Take up thy task, and know ye the path of contentment.""",In English?,,,
O0107,,"Come on, it's not so bad.",Look how big it makes me look.  I look like an Alp.,,,
O0108,You are forcing me to do the very thing you know I fear most!,"For god's sake, woman, I'm just trying to keep you safe!",I will not hear any more about my safety!!  You made me a promise and now you have broken it!,,,
O0109,"Jon -- for God¹s sake, what do you see?",I see what the watchmaker made.  I see the universe!,,,,
O0110,"Thank you very much, Your Excellency.","Don't keep calling me that. It puts me at such a distance. I was not born a Court Composer, you know. I'm from a small town, just like your husband.",,,,
O0111,It is not Mr. deMille in person. It is someone by the name or Gordon Cole.  He says it's very important.,Certainly it's important.  It's important enough for Mr. deMille to call me personally.  The idea of having an assistant call me!,I myself was surprised at Mr. de Mille's manners.,,,
O0112,,Schnickelfritz! I told you Schnickelfritz! Why'd you make me bet on Equipoise!,I clocked him this morning. He was running like a doll.,,,
O0113,There are plenty of other safe places. Why don't we go back to my flat?,Leave me alone!,You've got to trust me. It sounds silly but I know we were meant to meet.,,,
O0114,,I'm sorry I'm late. I was having lunch with Ruth Rabinow's assistant. Guess what? Marylin Rexroth is divorced!,HA!,,,
O0115,"Oh, I'd give anything to get out of Oz altogether -- but which is the way back to Kansas?  I can't go the way I came.",No -- that's true. The only person who might know would be the great and wonderful Wizard of Oz himself!,The Wizard of Oz?  Is he good or is he wicked?,,,
O0116,What kind of creature is this? Last night you two were spooning -,Don't remind me.,,,,
O0117,"Well, there's several ways to go .","Come in, have a drink, we'll talk.",,,,
O0118,Got it!,My mood ring! It fell off! I gotta find it!,,,,
O0119,I don't want to see her later.  I want to hear her <u>now</u>.,Talk to the man.,,,,
O0120,,That was meant for me!,Thank you. I'm going to close this up again.,,,
O0121,Randal Graves-scourge of the video renter.,"Ladies and gentleman, Mrs. Asian Design Major herself: Caitlin Bree!","You saw that article? God, isn't it awful? My mother sent that in.",,,
O0122,,It's the squid!  Stop it!,Stop what?  What are you -- ?,,,
O0123,"See! I can't tell them that!  I can't ever let them know. It makes their life..well, frankly... a joke.  I can't let that happen.  You understand?","We can make this work, Adam! Believe me! I'm very good at making things work!",My mother's like that.,,,
O0124,,Answer me this. What makes a man become a producer?,What makes a man walk into a lion cage with nothing but a chair?,,,
O0125,,"Look, I'm horny. Keep it in mind.  Love me a little?",You are the most unbelievable woman I have ever met. One second you're a screaming banshee and the next you're Florence Nightingale. Who are you? That's what I want to know. Will the real Jezzie Pipkin please stand up.,,,
O0126,"Sweetie, you won't believe it!  I've got the most incredible news!",You got the job?!!,"Huh?!  Oh, uh, no, I didn't get the job. But something <u>better</u> happened!",,,
O0127,,Wow! It's brilliant!,"Yeah...  Come on, have a little training.",,,
O0128,,HA HA HA! You burned yourself to death by lighting the fart! HA HA HA!!,"I sure did, Phillip!!",,,
O0129,This does not belong to us.  We are not the leaders.  We are not special.,What are you doing?!,"We are the all-singing, all-dancing crap of the world.  We are all part of the same compost heap...",,,
O0130,,"Do you know what this is, Data?",It would appear that you are attempting to graft organic skin onto my endo-skeletal structure.,,,
O0131,,"Remember, that poet that we liked  the reading he's doing at Big Cup? I got us tickets.",Right. 7:30.,,,
O0132,I don't know what to do.,"Don't do anything.  Paul, I know what you're talking about.",What do you mean?,,,
O0133,Don? Where is he?,HELP HIM!! Promise me you'll help him!,"I promise, Dorothy. I promise.",,,
O0134,"Mr. President--I did not say that Senator Paine was one of those Congressmen I saw. If the chair please, I will deny that Senator Paine *saw* Taylor or even knows him--",I *did* see Taylor! And I was in that room!,,,,
O0135,,What the hell is this?!,"It's necessary, Neo.  For our protection.",,,
O0136,"Alright miss, calm down.  I just need this lane open.  I need you to pull your vehicle onto the shoulder!",You're not listening to me!  You have to do something!,,,,
O0137,,Let's have lunch!,Righto!,,,
O0138,I've always denied the legend that you were in 'Our American Cousin' the night Lincoln was shot...,I don't think that's funny!,Of course it's funny - this is all too laughable to be anything else. You know what I think about this - this age obsession of yours - and now this ridiculous attempt to whip yourself up into a jealous froth because I spent ten minutes with a stage-struck kid-,,,
O0139,,Do you want anything?,Maybe an orange juice.,,,
O0140,"Agnes, how are babies born?",Don't you know?,"Yes I do,  but I want you to...",,,
O0141,,"Well, say, how 'bout easin' it down a bit so a man don't have to shout!","Mister McMurphy, there are old men here who couldn't hear the music at all if it were lower. That music is all they have, and I wish you wouldn't lean against the glass there, your hands are staining the window.",,,
O0142,,Listen... will you listen to me for a second!? You're for the suit on and you're a better swimmer than me.  Right?  So I got a plan...,What's the plan?,,,
O0143,Agnes...,Answer me!  You never answer me.,"Sometimes, yes.",,,
O0144,,"Okay, this guy is trying to scare us. He's messed with our property, he's coming around the house. It's time for an ass whoopin'!",This is not an intelligent way to approach this.,,,
O0145,"He's got nothing to do with this. It's me you want, right?",Let the hooker go.  She's not important.,"Harry, be quiet.  Let me handle this.",,,
O0146,,That's fine! That's fine!  Now fall right into their laps. Go ahead. Say John Doe walked in and called the whole thing off. You know what that's going to sound like on top of this!,"That's all, Ned. Thank you.",,,
O0147,Then they took the Mercedes away -- with his body in it.,"Listen, there's an overpass coming up.  I may lose you for a minute.",,,,
O0148,I'm glad you have such confidence in me.,Don't worry about Paley.  He can't touch me.  No one can.  I've thought it all out.,What does that mean?  You've been thinking about the case?  Or you thought everything out before you killed Marsh?,,,
O0149,And a little ice.,And a little ice!,,,,
