annotation_id,contexte_avant,texte,contexte_apres,label,confiance_1_3,notes
M0020,"Ah... pity, pity...","You don't understand, sir, we can't get the bomb to drop.","Ah, so many malfunctions... why don't you have anything nice to tell me when you activate me? Oh, well, did you try the azimuth clutch?",,,
M0021,Yes. Where were you when you saw him first?,Fifty yards right down there.,Which side of the road?,,,
M0022,Because...  We're just friends.  That's all. Just friends. WALTER I get it.  I see the whole thing now. No one knows if Walter Paisley is born!,"Jeez, what is your problem all of a sudden?","Oh sure, let's string along poor Walter, see how far it will take us!",,,
M0023,"Mark this, come what will of it, I swear I will fight the man who pretends to the hand of Dorothy Dugan.  I'll follow him if it's into the church, and meet him there. I'll have his blood, or he shall have mine.  Will you take my message to him, and arrange the meeting?","Well, if it must be, it must.  For a young fellow, you are the most bloodthirsty I ever saw.  No officer, bearing His Majesty's commission, can receive a glass of wine on his nose, without resenting it -- fight you must, and Best is a huge, strong fellow.",He'll give the better mark.  I am not afraid of him.,,,
M0024,My little sanctum is at your disposal. But I don't think I understand -,I'm going to live right here.  As long as I have to.,"But a morning newspaper, Mr. Kane. After all, we're practically closed twelve hours a day - except for the business offices -",,,
M0025,"For a minute, I thought maybe Walter Burns was at the back of it. But then I realized he couldn't have been.","Oh, no. How could you ever think of such a thing?","Oh, I realized right away. He's really a very nice fellow, Hildy -- I found that out.",,,
M0026,I'll join you later.,And <U>do</U> bring Miss Marsh--  --when she's had time to tidy up a bit.,,,,
M0027,Dealing with stuff way beyond my maturity level. Where is everyone?,Bren took Liberty Bell to her tot ice skating class.,Tot ice skating? Tots can't ice skate. Liberty Bell's still getting the hang of stairs.,,,
M0028,What?,And some new clothes.,Why?,,,
M0029,They've got lives to be grateful for.,"William, you're not making sense.",[Beat] They're at Church. And I bet that's where Becker is.,,,
M0030,Good night.,I've lost half a pound since Tuesday.,Good.,,,
M0031,"Glencorse -- that's a lonely cemetery, Fettes, not a soul around for miles.","They'll be thinking of that, too.",Tosh!  Fettes!  It's not their grief I'm worrying about -- I'm talking of our own end --,,,
M0032,,"Look, it's not your fault, okay? It's me.  It's my fault--you just married the wrong person.",So we've got problems.  Everybody's got problems--that's normal--,,,
M0033,I would say he's pretty depraved.,Oh no; quite the contrary. He's really just a child.,,,,
M0034,I think I know...,Something most important you can do.,"You want to play ""Cora."" You want me to tell Lloyd I think you should play it.",,,
M0035,What?,I've got to think of Emily -,I'd like to talk to you about that.,,,
M0036,Did you talk to Corey?,"Why, did you tell Corey what happened?",She figured it out.  I'm sorry if that upsets you.,,,
M0037,Are you and Dr. Woodly engaged?,Who have you been talking to?,What difference does that make?  Is Dr. Woodly going to be my father now?,,,
M0038,Ruined -- all the fields -- ruined.,Mary -- but look -- it didn't touch an ear of my corn -- we'll have a rich harvest.,,,,
M0039,Oh!,"Oh, no! It's not for you. You're only going to get married. Mrs. Dickson and I are going to go on the honeymoon.",,,,
M0040,I don't think a mother should depend so much upon her children for her rewards in life.,"Well, maybe that's what they teach you in New York University. In real life, it don't work out that way. You wait till you are a mother.",It's silly of me to argue about it. I don't know the people involved.,,,
M0041,,"Yes, I'm ready now.","Then close your eyes, and tap your heels together three times.",,,
M0042,What are you thinking?,Of all the people who have been born... and have died... while the trees went on living.,"Their true name is Sequoia Sempervirens: always green, ever- living.",,,
M0043,,I can't do it!,Don't! You're making me lose my grip.,,,
M0044,,We'll take a rain check.,I don't want you to think that I'm a drinker. I can stop any time I want to - only I don't want to.  Especially when I'm blue.,,,
M0045,Hi Walter...,What are you doing here so early?,,,,
M0046,Two tourists who never went home.,You helped him get this job.,That's what friends do.,,,
M0047,I guess so.,"Don't worry, honey, I'll protect you.",Okay.,,,
M0048,"It's about time we spoke to each other, isn't it?",Well... is it so urgent?,"If I wait until tomorrow, it'll be the same as yesterday and the day before and all the other days. When you're not with your poor people, you're praying or you disappear, I never see you.",,,
M0049,What is it?,A deju vu is usually a glitch in the Matrix.  It happens when they change something.,,,,
M0050,,-- you perverted hypocrite square bastards.,OK.,,,
M0051,Yes. I went to jail.,Do you wish that you were punished by your parents instead?,They... didn't buy me what I wanted for Christmas that year.,,,
M0052,Get me Room 414.,What do you think you're doing?,,,,
M0053,,"Oh, come on-I mean, I was still younger.","Hey, that was last year.",,,
M0054,,"Look here, Jim--if you and Joe are going to gab about this appointment *any* longer, I'm going ahead and see those committees!",You'll see those committees when we're finished!,,,
M0055,"Look, I can do it!","What's gotten into you, Babe? I remember the time when you'd blast this town wide open before you'd let Cobb get away with a thing like this.","Oh, he's not getting away with anything.",,,
M0056,You mean like going to the pictures?,Something like that.,"Well, that's good. I like to viddy the old films now and again.",,,
M0057,"Why, you sweet thing, you. Where'd you get it pressed?","Listen, BratI'm going to count to ten. If you're not out of bed by then I'm going to yank you out myself.",,,,
M0058,"Wakin' me up in the middle of the night -- talkin' to me about things they don't understand. Callin' me a Bolshevik. I'm an anarchist. It's got nothin' to do with bombs. It's the philosophy that guarantees every man freedom. You see that, don't you?","Sure I do, Earl.",,,,
M0059,,What is it doing?,It's scared of me.,,,
M0060,I'll call her up.,"You call her up for yourself, Angie. I don't feel like calling her up.",,,,
M0061,"Well, you see, your uncle didn't bother with that sort of thing. He left everything to us. He traveled most of the time, and enjoyed himself. You should do the same thing, Mr. Deeds.","Besides wanting to be my lawyer, you also want to handle my investments too?",Yes. That is to say,,,
M0062,Face and head scars come from amateur amusements in the bar room. This love line here...  ...that's from some crazy Frenchie come after me with a knife. I caught him with a good right hand right in the snot locker and laid him amongst the sweetpeas.,Ever see one like this?,,,,
M0063,Yeah.,And did you find the leopard?,,,,
M0064,It's not bad.,How old are you?,Thirty-five.,,,
M0065,What makes you say that?,If he didn't you'd never sit still while this was happening.,You sure? Maybe that's the kind of friend I am.,,,
M0066,"So come home and live rent free, 'stead of that cockroach palace you live in. $50,000 Jesus Christ, the world is off its rocker. I made $37,000 last year and you...","It's Queens, Dad and a 5% mortgage and you rent the top room--I gotta live in Manhattan to be a player, Dad. There's no nobility in poverty anymore, y'know. One day you're going to be proud of me, you'll see...","It's yourself you've got to be proud of, Huckleberry, how much ya need?",,,
M0067,It's beautiful. Thank you.,I hope it brings you luck.,It will.,,,
M0068,,"You know, there ought to be a Congressional Medal for men like you. America's comfort to misunderstood wives. I never thought I would find myself in that class.","Oh, you're not so badly off. There's something much worse than being a misunderstood wife.",,,
M0069,"I hate to burst your bubble, but other than the fact that you're especially sadistic, there's nothing unusual about these precious murders of yours.",You know that's not true.,"In two months, no one's going to even remember this happened.",,,
M0070,Know what my next move is? No more cigarettes.,Why don't you put me in chains?,I might.,,,
M0071,"No, San Francisco. What are you...?",What kind of law?,Criminal.,,,
M0072,,"Alvy, you were... Alvy, you were just great, I'm not kidding. It was- You were so neat.",C-c-coll- College audiences are so wonderful.,,,
M0073,I'm Michael.,Michael's great.  I like Michael.,,,,
M0074,What?,What-what? Where you been the last four five years? Outer space?,When Mother died Pop sent me out to school in the country. He was afraid with no one home I'd get into bad company.,,,
M0075,Nothing.,And when she goes to those places...,She is not my wife.,,,
M0076,"Come on, stand still.",Get out of here!,It's not gonna hurt you.,,,
M0077,Did you say--bus?,"One of those sightseers--you know. You see, I--gosh, I've never been called absent-minded or... but there it was all of a sudden--looking right at me through one of the station doors--",There *what* was?,,,
M0078,I don't see why I must justify myself to you. I don't care about the things you do. I don't care what's happening in New York or Los Angeles. I don't care about movies or TV. I don't care who's on Johnny Carson.,What do you care about?,I care about my daughter.,,,
M0079,"I mean really, deeply angry...",I don't think I could be.,"Well. I don't want to play ""Cora.""",,,
M0080,I was gonna split it with you guys.,We do not take tips.  I'll apply this to the cost of the dress.,,,,
M0081,"That cadaverous-looking yegg who sat in front of us, just up and took it. Boy, how that baby can run!",What am I going to do now?,Don't tell me your ticket was in it?,,,
M0082,"Maybe - just 'maybe' - when their ship doesn't return - they'll decide not to come here, after all.",But if they <u>do</u>?,I don't know.,,,
M0083,What?,How many minutes between the first and second whistle?,That's funny. It's interesting. I never gave it a thought before.,,,
M0084,"I I never knew a girl like you, Edie. I always knew the kind you just grab 'em And I never knew a girl like you, Edie.",It's fun dancing with your eyes closed. I'm floating. I'm floating... .,,,,
M0085,"Yeah.  Ah, I don't want to panic you or anything, but, I mean, the way Hobbes designed them, they're supposed to get out of hand real quick, so you don't have much time to think about what's happening to you. Once they decide to start pumping all those dynamite juices into the old blood stream... I dunno. But if you see some people doing kind of compulsive, maybe even bizarre sexual things...",Yeah? What do I do then?,"I dunno. Try tranquilizers. Once you can get at them, there's a lotta stuff you can use. I'll bring a bagful. It's just the standard tropical kit. But the trick is to get at them.",,,
M0086,Goodbye.,You didn't deserve me John Buckingham.,Whatever.,,,
M0087,Hi.  She's auditioning for a television commercial.  She said she's gonna be a little late.,"Oh, yeah?  How's she doing?",,,,
M0088,What is it?,It's a thought I had.,Should I open it now?,,,
M0089,My pigeons... .,"Terry, you better stay in for a while. I'll come and cook your meals. Be sure you keep the door locked.",Every one of 'em... .,,,
M0090,Oh!,"Well ... go 'head, do the next bit.",Go away! You've spoilt it.,,,
M0091,,"No, thanks. The fellows in the office may get the wrong idea how I found out.","So let 'em. Look, I'm going to cook dinner for us. We'll have the fruit cake for dessert. You just sit there and rest. You've done enough for one day.",,,
M0092,,You're too close.  Back off.,"Goddamnit, Hendricks, untie the rope there.",,,
M0093,"I know it must be hard. But you have relatives in London --you've got a whole world of living, ahead of you --",No one can take my father's place.,,,,
M0094,"--Is that what this is about, Sean? The Field's Medal? Do you want me to go home and get it for you? Then will you let the boy--",--I don't want your trophy and I don't give a shit about it! 'Cause I knew you when!! You and Jack and Tom Sanders. I knew you when you were homesick and pimply-faced and didn't know what side of the bed to piss on!,That's right! You were smarter than us then and you're smarter than us now! So don't blame me for how your life turned out. It's not my fault.,,,
M0095,"Preach! Go down and get me some White Tavern whisky, a glass, and some ice.","Preacher! Go on down and get me some bourbon. J. T. S. Brown. No ice, no glass.",Preach... get it at Johnny's.  You got a bet.,,,
M0096,He's what she should run a mile from.,Then why doesn't she?,Who knows the secrets of the human heart.,,,
M0097,And you?,Prouder still. You'll be the handsomest student there.,I'll have to do better than that.,,,
M0098,Where's Kansas?,That's where I live.  And I want to get back there so badly I'm going all the way to Emerald City to get the Wizard of Oz to help me.,You're going to see a Wizard?,,,
M0099,"Here it is.  A bird on one side. His cage on the other.  Now, stare at it.  The bird seems to be in his cage.","Yes, he does.  May I try?",,,,
M0100,What's with Mike?,He got a little jealous.,"I'm sorry, I didn't...",,,
M0101,With the paper to prove it.,"I'm going to have a home. Not just a house I'm afraid to stay in... and a man to go with it. I'll look up at six o'clock - and there he'll be... remember, Karen?",,,,
M0102,Dysfunctional --,"That they tunnel, magically, through any obstacle, defying the practical laws of physics, in order to end up together --",And glow happily ever after.,,,
M0103,Please do.,I think the time has come for you to shed some of your humility. It is just as false not to blow your horn at all as it is to blow it too loudly...,I don't think I've done anything to sound off about.,,,
M0104,"Don't call me that, please.",But what are you doing here?,I came to get you! What do you think?,,,
M0105,,"Yes, Father. Yes! So much for my vow of chastity. What did it matter? Good, patient, hard-working, chaste - what did it matter? Had goodness made me a good composer? I realized it absolutely then - that moment: goodness is nothing in the furnace of art. And I was nothing to God.",You cannot say that!,,,
M0106,"Oh! Italian, right?","Yeah, he's the Mafia. Linen Supply Business or Cement and Contract, you know what I mean?","Oh, yeah.",,,
M0107,"Would you, like, marry him?","If he were still alive, maybe.",How about someone who really really liked Shostakovich?,,,
M0108,"Hello, Rick.","Oh, you've already met Rick, Mademoiselle?",,,,
M0109,"Do you remember Henry Birdson?  The math professor who won the Salwen Medal, then went home and killed his family?",What's that got to do with you?,Last week the Catholic Church certified him as genuinely possessed.  You realize how rarely they make that ruling?,,,
M0110,"Here I am. I think I'm spinning... We're both falling, Talby, in opposite directions, away from each other. My -- my jetpack's gone.","What happened, Doolittle?","Bomb must have gone off inside the ship. Nothing we can do about it now. Hey, it looks like... the skipper. He made it. Commander Powell made it!",,,
M0111,"What is the first and principal thing he does, what need does he serve by killing?","Anger, social resentment, sexual frus-","No, he covets. That's his nature. And how do we begin to covet, Clarice? Do we seek out things to covet? Make an effort to answer.",,,
M0112,,"...well, if you're not going to slit my throat, why'd you come up here?",...to see you.,,,
M0113,Precisely.,What did Albania ever do to us?,"What did they ever do <u>for</u> us...?  You see, this is why we have to mobilize the B-2 Bomber.",,,
M0114,,"He's a waiter at the Clarence, poor devil. You know him.","Oh, yes.",,,
M0115,The Carlsons' are here.,They are?  Come on.,,,,
M0116,You know what she asked me?,I don't care what she asked you.,"She told me not to fight with you anymore. She said it wasn't your fault, but -- I figure different...",,,
M0117,"Down, Shep! Down!","He only wants you to throw the stick for him, Jabez. I guess he's feeling the spring a-coming, too.",All right -- only he needn't dirty my pants!,,,
M0118,,"Too old, dull fighter.  Bobby Judge is a good boy.",...I don't feel heat from the name.,,,
M0119,"Correct me if I'm wrong, but I don't think so...",I'll listen one more minute.,,,,
M0120,You look a little tired.,I'm okay. It's going well!,'Have a look?,,,
M0121,That's all.,"No, it isn't -- where's the money?",I don't know.  Those men killed Charles to get it. But he must not have had it with him on the train.,,,
M0122,,"Wow, I guess I hit a nerve.","You make it sound like, you know, I have no needs or something.  You think I'm too self-sufficient?",,,
M0123,,There is the bathroom.  I put in soap and a toothbrush.,"Thanks.  Say, she's quite a character, that Norma Desmond.",,,
M0124,What did you get?,What do you mean?,,,,
M0125,,I trust...  Want to see what I trust... In God we trust...  The word's on every bill!!!,"You keep it up and it won't matter how far we get away, because it's going to be all over between you and me. Do you understand that? There won't be anything left.",,,
M0126,"Oh, oh, no, I can't-I can't eat this. I'm nauseous.  If you could-if you could just give me something to get me through the next two hours, you know I-I have to go out to Burbank... and give out an award on a TV show.","Well... H-h huh... Oh, good... Yes, I'll tell him.",,,,
M0127,"Oh, I don't know.",A week? A year?,"More like a week. Look, I'll be back.",,,
M0128,,You bought this for me?,Don't get any ideas. Of course it comes out of your share.,,,
M0129,You must have been really sick.,How is the garden doing?,I need to get out there and get those weeds out.,,,
M0130,,You heard anything yet?,Any day.,,,
M0131,And suppose you couldn't hold out?,Suppose you didn't have to hold your breath?,,,,
M0132,Sure--  You know something?  I have a feeling we're going to stay here.,And listen--watch out about the pals you choose--Know what I mean? Don't let them choose you--,,,,
M0133,I don't think I got the job in New York.,What does that mean?,I'm still going to New York. Just not this second.,,,
M0134,It's what the D.A. used to tell me about Chinatown.,Was he right?,,,,
M0135,Huh?,"I mean, about the Power of Attorney.","Oh, yes. Yes, I will.",,,
M0136,Don't worry. Fortunately last night a very trustworthy friend kept his eyes open. Perhaps he overstepped his function as a waiter but he fulfilled his duty as a Russian.  I just put this on for sentiment. The rest are absolutely safe. I assure you. But if you feel like notifying the police...,You leave me no choice.,Won't it be rather embarrassing for a Soviet Envoy to disclose the circumstances under which she lost them?,,,
M0137,"There are the people of the United States, and they are blaming you - Oh, I know it doesn't make any sense, but at least you can learn a lesson from it.","What lesson?  Not to expose fraud when I see it?  Not to fight for the right of the people to own their own property?  Run it the way I said, Reilly - ""This afternoon a great man was assassinated -""",Charlie!  Now you're not making sense.,,,
M0138,No!,"'For he's only a bird in a gilded cage, a beautiful sight to see'  Tweet, tweet - ha, ha",,,,
M0139,"It would be a nice night to go for a walk, don't you think?","Oh yes, I think it'd be a swell night to go for a walk. A nice long one.",,,,
M0140,The one about the Siberian bloodhound?,Siberian bloodhound?  No. That's been all rewritten. It's laid in Araby now.,Araby?,,,
M0141,,Hide me? Why?,My little girl said she'd kill you if you came to see me. I can't let you die. We'll have to hide you.,,,
M0142,"Aw come on, Alex!","Shall I be forced to feed you, Mr. Kessler?",,,,
M0143,So you got pinched in the elevator. So what?  Would you rather be picking lead out of your navel?,"All right, all right!  But how long can we keep this up?",What's the beef?  We're sitting pretty. We get room and board - we get paid every week - there's the palm trees and the flying fish -,,,
M0144,Tick-tock...,"If you wanna help, then help. If not, shut up.",Your mess.,,,
M0145,"No, I do. That's what I'm saying to you.",Listen to me! You don't! The Jacket is my only chance in this place.,,,,
M0146,You know what we should do? Go to the...,So you can do an album cover?,,,,
M0147,Hello -- hello...,Gimme Western four-five-five-seven.,"Who?  Hello, Butch! Where are you?",,,
M0148,,Mrs. MacLean -- why don't you and daughter stay for dinner?,"Oh uh, thank you. No, we don't want to impose.",,,
M0149,I wanted them to fly down some orchids from our greenhouse but all of Long Island is fogged in.,It's the thought that counts.,,,,
M0150,What's she doing here?,"Chekov's on Reliant, isn't he?",,,,
M0151,,You?  Why?  Since when have you become the protector of little children?,"I'm not concerned about the child, Toddy.  It's you I'm thinking of, I'd like to see you prove that a lot of things I know haven't hurt Toddy MacFarlane any.",,,
M0152,But then you've been so much better...,"Norman, this isn't about you.  This is something that's happening to me.  It's not to get even...and it's not some warped bid for attention.  Some strange things are happening in our house, whether you believe in them or not...",Sweetheart--,,,
M0153,How 'you gonna live?,"I can always chop cotton if I have to.  If you want a ride, I'll take you home.","No, thanks. I'll take the bus.",,,
M0154,Are you sure you want to stay?,Are you sure you have to go?,,,,
M0155,I don't understand.,Afraid of any woman who'd give Mitch the only thing Lydia can give him -- love.,"Annie, that adds up to a jealous, possessive woman.",,,
M0156,"Why, has he bothered you before?",Is it news to you?,"Son, lots of people tell me I'm a gifted man, but I still can't see around corners.",,,
M0157,"By definition you're lying to Ann, too.","That's right. But I never took a vow in front of God and everybody to be ""faithful"" to my sister.","Look, are we going to do it or not?",,,
M0158,,Oh!  We ought to try and carry Dorothy.,"I don't think I could, but we could try.",,,
M0159,There was no plan! I was just young and stupid and scared!,You never gave us a chance...,I know that. I can't tell you how many times I've said that to myself in those exact words.,,,
M0160,"So long, you guys.","What will you do, Colonel?","I dunno.  Marry the first whore who's nice to me, I guess.  Get a job in a motorcycle shop.  So long, you guys.",,,
M0161,Andy's house.  Sid's house.  What's the difference.,"Oh, Buzz, you've had a big fall. You must not be thinking clearly.","No, Woody, for the first time I am thinking clearly.  You were right all along.  I'm not a Space Ranger.  I'm just a toy.  A stupid little insignificant toy.",,,
M0162,I love you Don with all my heart.,"No, it's not Don.",,,,
M0163,"Yeah, well the only woman of the Indian's we ran into was shacked up with her dyke girlfriend.  I guess she went with him before she came outta the Closet ... They both looked mad enough to kill him...","Yeah, too bad.  They were real nice lookin' too...In bed together, hardly any clothes one watching TV...",,,,
M0164,Yeah.  I know what it's like.,Then tell me what happened.,Can't give you the details because I can't remember.  I went to court to kill him.  At the Ezekiel Walters hearing.  I was supposed to shoot him at the press conference.  You were there. That's the first time I saw you.,,,
M0165,,"Can we, can we go?",No!,,,
M0166,,"From a chicken, bug-wit.",A chicken?,,,
M0167,The most beautiful woman in the world.,But you would not stay with me.,Could not. Could not betray the girl to whom I was betrothed.,,,
M0168,"So that's it. Lloyd. Still just the Theater, after all...","It's nothing of the kind! Lloyd loves me, I love him!",I know nothing about Lloyd and his loves - I leave those to Louisa May Alcott. But I do know you.,,,
M0169,And when things get in your way or people you just knock them aside get rid of Them is that your idea?,Listen get this straight don't look at me when you say them things. It wasn't my fault what happened to your brother. Fixing Joey wasn't my idea... .,"Why, Terry, who said it was?",,,
M0170,So she seems.,"So you've pointed out, so often. So many qualities, so often. Her loyalty, efficiency, devotion, warmth, affection - and so young. So young and so fair...",,,,
M0171,You wouldn't.,Of course I wouldn't.,,,,
M0172,"Say, you could do anything with me you wanted to. Putty - just putty, that's me.  Now getting back to those eyes of yours - would you mind if I kind of got closer so I could see them?",Not if you're going to lose any sleep about it.,,,,
M0173,"Just take it easy, this isn't my fault.","Maybe it is! How the fuck would you know?! You don't know a fucking thing! You can't get scared, can you get angry?!",,,,
M0174,,She doesn't seem to like you very much.,"Oh, I don't mind. As a matter of fact, I'm sort of flattered -- that anybody should think a girl like you -- would do a thing like this -- over a guy like me.",,,
M0175,"Well, I'm not.",That's very interesting.,,,,
M0176,I have the whole weekend off.,"Well that's fine, but I only have one bed, and --",,,,
M0177,,Guts! A crummy pigeon who's looking to get his neck wrung!  You should have  You should have known better than to trust this punched out brother of yours. He was all right hanging around for laughs. But this is business. I don't like goofoffs messing in our business.,"Now just a minute, I",,,
M0178,Not at all.,"Timmy this is Gerry, an old friend of mine. We went to college together.",,,,
M0179,What do you have to do to get ready?,"Load a new tape, turn the camera on.",Then do it.,,,
M0180,"No. I only led her into believing I believed she was... Mother, it's really very complicated.",But she did buy the lovebirds and then brought them all the way...,"Mother, where did you go to law school?",,,
M0181,,"Elaine, just hear me out. I know things haven't been right for a long time. But it will be different...like it was in the beginning. Remember?",I remember everything. All I have are memories.,,,
M0182,,Maybe he's been chain-ganging too long.,Long enough to see redhots come and redhots go.,,,
M0183,"Why are we way out here, when the shark's back there?",...'cause this is where he lives. You gotta think like they do.,,,,
M0184,And not show it to me. Ever again.,That's going to cost.,I'll pay.,,,
M0185,,"What is it, Alice?",I thought Amy was calling. I guess not.,,,
M0186,"And again and again! Two hours late for the audition, to begin with-",That's on time for Margo.,"Then a childish, heavy-handed routine about not knowing Eve was her understudy-",,,
M0187,This is the staircase of the palace.,"Oh, yes, yes.  They're below, waiting for the Princess ... I'm ready.",All right.  Camera!  Action!,,,
M0188,You know it's okay.,"Also, I think I'm in love with you.","What, you mean as friends?",,,
M0189,I'm not being grouchy.  I just want to finish my work.,Okay.  I understand.  I'll come back later on with a couple of sandwiches for you and... maybe you'll let me read something then.,"Wendy,  let me explain something to you. Whenever you come in here and interrupt me, you're breaking my concentration.",,,
M0190,,"Jean Luc, Whatever you were... Right now you're the man you've made yourself. He's someone else.","I wish I could believe that, Doctor.",,,
M0191,,You want me to be a doll forever?,Claudia - don't -,,,
M0192,What?,Ellie's a little scared of death. And the main reason Ellie's that way is because your wife is a lot scared of death. Now you just go ahead and tell me I'm wrong.,,,,
M0193,"Oh, you wouldn't want to hear me sing.","Yes, I would.  That's why I asked.","Well, I -",,,
M0194,,For the last ten miles I've been trying to figure out how to sleep sitting up. I'm getting to the point where I don't think there's any place named Sonora.,It's a long ways yet.  I figure we ought to camp. She's tired.,,,
M0195,Don't touch me!  Don't touch me!,What are you afraid of?  I'm not going to hurt you!  What's the matter with you?,"I'm hysterical.  I'm having hysterics.  I'm hysterical.  I can't stop.  When I get like this, I can't stop.  I'm hysterical.",,,
M0196,"No, don't go...",The four of you must have so much to say to each other - with Mr. Sampson leaving...,,,,
M0197,,"I don't know anything, I tell you. There's been an accident.","Johnson, there's something very peculiar going on.",,,
M0198,"That's right, 'cause it's an important issue.","Alvy, you're incapable of enjoying life, you know that? I mean, your life is New York City. You're just this person. You're like this island unto yourself.","I can't enjoy anything unless I... unless everybody is. I-you know, if one guy is starving someplace, that's... you know, I-I... it puts a crimp in my evening.  So wanna get married or what?",,,
M0199,,No? What do you look upon her as?,"Why, down at the office, we always look at Gallagher as - eh - just Gallagher, that's all.",,,
M0200,Right!--but it doesn't have to apply to you--Keep your eyes open for anybody wearing a lot of cracked ice and give me the office.,Now you're talkin'!,,,,
M0201,"Yeah, thanks. Thanks a lot. Well...","Well, thanks, thank you. You-you're a wonderful tennis player.",Oh.,,,
M0202,Stop being nuts!,I trusted you!  I thought you cared about me?!,I do care about you!,,,
M0203,Commander? Are you still there?,"Oh, yes, Doolittle, I'm thinking.","We're running out of time, sir.",,,
M0204,,Is it bad?,"We get out of this alive, maybe I'll take that miracle cure of yours.",,,
M0205,"I don't know, Lois, but I do know a fraud when I hear one. This thing goes against all natural laws.",You're just jealous.,Jealous? Of what?,,,
M0206,Uhhuh.,"Well, it won't work. Love and understanding won't make a good detective out of a recalcitrant poet.",Actually I want to ask two favors of you -- one as a poet 	one as a detective.,,,
M0207,What about the phosphorous grenade?,"One went off, yeah, but it didn't touch him -- I thought you knew this --",,,,
M0208,,Do you know him?,Yep.,,,
M0209,Could I have a cigarette?,Are you crazy?,Why are you so determined to keep me alive?,,,
M0210,That's the one.,They don't suspect <I>him</I>?,Don't they? He's down at The Tombs right now.,,,
M0211,I will stay here and keep on trying. I'm sure in a little while --,"-- We might as well be frank, Monsieur. It will take a miracle to get you out of Casablanca. And the Germans have outlawed miracles.",,,,
M0212,I'm only trying to...,"I know what you are, I am <u>so</u> sorry that you...when I read that script I said there's only one person to play that part.",The minute I read that script I said...,,,
M0213,"I'll see ya around, huh?",It's a small town.,,,,
M0214,There! THAT'S a true Berserk.,"I'm just building up to it, Dad.",,,,
M0215,,No one comes here after dark.,Hide the car.,,,
M0216,,Are you cold?,Yes.,,,
M0217,Considering that the paper is three months old and this isn't Sunday -- no thank you.,"I guess I'll wait until I'm home, Mrs. Rand.",,,,
M0218,Your mom and the boys can drop by anytime.,To check up on me?,I'll be around to check up on you.,,,
M0219,Alright. A month. In a month.,A month from today?,Yeah.,,,
M0220,Done what?,Tore off one of my chests.,You'd better go fix it.,,,
M0221,,What... what are these interviews about?,"The... interviews are about sex, Ann.",,,
M0222,,Good morning to <u>you</u>...whatsa matter?,I can't get it to come out right.,,,
M0223,The mystery's all gone. And I wanted you to find out who did it.,Maybe I will.,But Wynant --- ?,,,
